Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-10102;Смородина;Smorodyna;урочище;Хмельницька обл.;р-н Славутський;"N 50° 23’ 39""";"E 27° 2’ 9"""
Ф-10110;Устимівське;Ustymivske;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 22’ 10""";"E 27° 15’ 29"""
Ф-10111;Казенне;Kazenne;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 22’ 50""";"E 27° 16’ 59"""
Ф-10115;Хунцинищина;Khuntsynyshchyna;урочище;Хмельницька обл.;р-н Славутський;"N 50° 16’ 54""";"E 26° 43’ 1"""
Ф-10120;Шляхова;Shliakhova;урочище;Хмельницька обл.;р-н Славутський;"N 50° 15’ 51""";"E 26° 42’ 18"""
Ф-10122;Козаки;Kozaky;урочище;Хмельницька обл.;р-н Ізяславський;"N 50° 11’ 43""";"E 26° 35’ 51"""
Ф-10128;Улянівка-Друга;Ulianivka-Druha;урочище;Хмельницька обл.;р-н Ізяславський;"N 50° 8’ 51""";"E 26° 43’ 31"""
Ф-10129;Рудня;Rudnia;урочище;Хмельницька обл.;р-н Славутський;"N 50° 18’ 11""";"E 27° 2’ 40"""
Ф-10131;Грабовий Буд;Hrabovyi Bud;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 14’ 20""";"E 27° 4’ 20"""
Ф-10132;Мигаль;Myhal;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 11’ 37""";"E 27° 16’ 24"""
Ф-10134;Лабунське;Labunske;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 11’ 59""";"E 27° 21’ 52"""
Ф-10137;Дзвіна;Dzvina;урочище;Хмельницька обл.;р-н Полонський;"N 50° 10’ 53""";"E 27° 25’ 53"""
Ф-10138;Полонська Дача;Polonska Dacha;урочище;Хмельницька обл.;р-н Полонський;"N 50° 9’ 30""";"E 27° 25’ 19"""
Ф-10165;Дубинка;Dubynka;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 31""";"E 27° 25’ 6"""
Ф-10172;Запуст;Zapust;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 49""";"E 27° 27’ 49"""
Ф-10175;Березина;Berezyna;урочище;Хмельницька обл.;р-н Ізяславський;"N 49° 55’ 23""";"E 26° 47’ 53"""
Ф-10179;Кучманівка;Kuchmanivka;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 52’ 6""";"E 26° 46’ 39"""
Ф-10204;Теліжинські Ліски;Telizhynski Lisky;урочище;Хмельницька обл.;р-н Старосинявський;"N 49° 36’ 53""";"E 27° 31’ 43"""
Ф-10213;Вербородінщина;Verborodinshchyna;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 39’ 19""";"E 27° 20’ 3"""
Ф-10216;Крутівщина;Krutivshchyna;урочище;Хмельницька обл.;р-н Старосинявський;"N 49° 37’ 47""";"E 27° 28’ 40"""
Ф-10223;Пилявський Ліс;Pyliavskyi Lis;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 34’ 21""";"E 27° 22’ 21"""
Ф-10228;Волосівська Дача;Volosivska Dacha;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 34’ 9""";"E 27° 18’ 10"""
Ф-10237;Дідовичи;Didovychy;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 35’ 17""";"E 27° 15’ 10"""
Ф-10238;Дубина;Dubyna;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 33’ 10""";"E 27° 23’ 50"""
Ф-10239;Кручі;Kruchi;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 33’ 25""";"E 27° 17’ 28"""
Ф-10240;Глушина;Hlushyna;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 32’ 21""";"E 27° 18’ 6"""
Ф-10243;Чорний Ліс;Chornyi Lis;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 30’ 59""";"E 27° 27’ 50"""
Ф-10245;Собачий Яр;Sobachyi Yar;урочище;Хмельницька обл.;м. Хмельницький;"N 49° 26’ 51""";"E 27° 13’ 21"""
Ф-10253;Переїмська Дача;Pereimska Dacha;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 26’ 25""";"E 27° 20’ 17"""
Ф-10256;Городище;Horodyshche;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 17’ 41""";"E 26° 31’ 47"""
Ф-10259;Зарудка;Zarudka;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 15’ 41""";"E 26° 33’ 41"""
Ф-10260;Кам’яна Гора;Kamiana Hora;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 8’ 47""";"E 26° 31’ 40"""
Ф-10262;Недобор;Nedobor;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 8’ 6""";"E 26° 31’ 51"""
Ф-10263;Купинський Ліс;Kupynskui Lis;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 6’ 2""";"E 26° 33’ 45"""
Ф-10264;Городище;Horodyshche;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 2’ 43""";"E 26° 35’ 10"""
Ф-10282;Довге;Dovhe;урочище;Хмельницька обл.;р-н Ярмолинецький;"N 49° 11’ 20""";"E 27° 5’ 52"""
Ф-10283;Батик;Batyk;урочище;Хмельницька обл.;р-н Деражнянський;"N 49° 10’ 20""";"E 27° 18’ 9"""
Ф-10288;Пашівка;Pashivka;урочище;Хмельницька обл.;р-н Деражнянський;"N 49° 5’ 26""";"E 27° 27’ 9"""
Ф-10299;Гайдамацький Яр;Haidamatskyi Yar;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 17’ 18""";"E 27° 39’ 25"""
Ф-10302;Гришкинське;Hryshkynske;урочище;Хмельницька обл.;"р-н Летичівський, р-н
Деражнянський";"N 49° 13’ 58""";"E 27° 44’ 39"""
Ф-10304;Настівники;Nastivnyky;урочище;Хмельницька обл.;р-н Деражнянський;"N 49° 10’ 38""";"E 27° 35’ 31"""
Ф-10309;Казимирівка;Kazymyrivka;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 45’ 50""";"E 27° 31’ 8"""
Ф-10331;Прицькове;Prytskove;урочище;Хмельницька обл.;р-н Полонський;"N 50° 13’ 14""";"E 27° 32’ 57"""
Ф-10343;Ямпільщина;Yimpilshchyna;урочище;Хмельницька обл.;р-н Білогірський;"N 49° 58’ 15""";"E 26° 9’ 49"""
Ф-10345;Калинівка;Kalynivka;урочище;Хмельницька обл.;р-н Білогірський;"N 50° 0’ 44""";"E 26° 13’ 23"""
Ф-10352;Рутківське;Rutkivske;урочище;Хмельницька обл.;р-н Білогірський;"N 50° 1’ 49""";"E 26° 20’ 48"""
Ф-10355;Степанівський Ліс;Stepanivskyi Lis;урочище;Хмельницька обл.;р-н Білогірський;"N 50° 4’ 47""";"E 26° 15’ 51"""
Ф-10367;Нуткова Слобідка;Nutkova Sloboidka;урочище;Хмельницька обл.;р-н Волочиський;"N 49° 35’ 19""";"E 26° 28’ 41"""
Ф-10372;Горби;Horby;урочище;Хмельницька обл.;р-н Чемеровецький;"N 49° 57’ 14""";"E 26° 26’ 25"""
Ф-10379;Качанове;Kachanove;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 16’ 8""";"E 26° 22’ 41"""
Ф-10381;Семихатки;Semykhatky;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 9’ 42""";"E 26° 16’ 28"""
Ф-10385;Ковалева Долина;Kovaleva Dolyna;урочище;Хмельницька обл.;р-н Чемеровецький;"N 49° 6’ 49""";"E 26° 17’ 0"""
Ф-10387;Капориха;Kaporykha;урочище;Хмельницька обл.;р-н Чемеровецький;"N 49° 1’ 4""";"E 26° 26’ 20"""
Ф-10390;Ганнопільський Ліс;Hannopilskyi Lis;урочище;Хмельницька обл.;р-н Славутський;"N 50° 30’ 31""";"E 26° 50’ 1"""
Ф-10393;Пановецька Дача;Panovetska Dacha;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 37’ 27""";"E 26° 35’ 25"""
Ф-10396;Дубина;Dubyna;урочище;Хмельницька обл.;р-н Віньковецький;"N 48° 59’ 31""";"E 27° 17’ 8"""
Ф-10406;Самбризове;Sambryzove;урочище;Хмельницька обл.;р-н Віньковецький;"N 48° 57’ 8""";"E 27° 15’ 47"""
Ф-10407;Поруба;Poruba;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 52’ 19""";"E 27° 14’ 19"""
Ф-10409;Кривняк;Kryvniak;урочище;Хмельницька обл.;р-н Дунаєвецький;"N 48° 46’ 18""";"E 27° 1’ 46"""
Ф-10412;Милятине;Myliatyne;урочище;Хмельницька обл.;"р-н Новоушицький, р-н
Дунаєвецький";"N 48° 44’ 4""";"E 27° 5’ 41"""
Ф-10414;Перелісок;Perelisok;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 44’ 41""";"E 27° 15’ 17"""
Ф-10416;Асічина;Asichyna;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 42’ 40""";"E 27° 23’ 18"""
Ф-10418;Куликівка;Kulykivka;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 43’ 7""";"E 27° 18’ 46"""
Ф-10420;Глибока Долина;Hlyboka Dolyna;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 42’ 31""";"E 27° 1’ 44"""
Ф-10423;Лазареве;Lazareve;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 37’ 45""";"E 26° 28’ 16"""
Ф-10427;Три Горби;Try Horby;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 36’ 8""";"E 26° 26’ 57"""
Ф-10430;Ходорівська Дача;Khodorivska Dаcha;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 35’ 41""";"E 26° 28’ 56"""
Ф-10432;Жовтневий Лан;Zhovtnevyi Lad;урочище;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 35’ 4""";"E 26° 24’ 11"""
Ф-13136;Велика Бугаївка;Velyka Buhaivka;гора;Хмельницька обл.;р-н Чемеровецький;"N 49° 8’ 18""";"E 26° 14’ 40"""
Ф-13138;Лиса;Lysa;гора;Хмельницька обл.;р-н Чемеровецький;"N 49° 8’ 16""";"E 26° 20’ 43"""
Ф-13146;Водяна;Vodiana;балка;Хмельницька обл.;р-н Деражнянський;"N 49° 13’ 45""";"E 27° 30’ 28"""
Ф-13149;Василева;Vasyleva;долина;Хмельницька обл.;р-н Деражнянський;"N 49° 9’ 19""";"E 27° 35’ 0"""
Ф-13158;Західна;Zakhidna;гора;Хмельницька обл.;р-н Деражнянський;"N 49° 14’ 31""";"E 27° 33’ 32"""
Ф-14987;Тавтра;Tavtra;гора;Хмельницька обл.;Чемеровецький р-н;"N 49° 6’ 49""";"E 26° 15’ 33"""
Ф-15986;Бабин яр;Babyn yar;урочище;Хмельницька обл.;р-н Славутський;"N 50° 22’ 55""";"E 26° 54’ 45"""
Ф-16072;Атлантида;Atlantyda;печера;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 35’ 52""";"E 26° 20’ 42"""
Ф-16089;Бальки;Balky;урочище;Хмельницька обл.;р-н Ізяславський;"N 50° 2’ 1""";"E 26° 39’ 22"""
Ф-16334;Березина;Berezyna;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 42’ 7""";"E 26° 49’ 2"""
Ф-16511;Беркути;Berkuty;урочище;Хмельницька обл.;р-н Полонський;"N 50° 11’ 33""";"E 27° 29’ 27"""
Ф-16529;Березина;Berezyna;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 40’ 14""";"E 27° 23’ 1"""
Ф-16530;Березина;Berezyna;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 47’ 34""";"E 27° 31’ 3"""
Ф-1678;Смотрич;Smotrych;річка;Хмельницька обл.;;"N 48° 33’ 52""";"E 26° 38’ 28"""
Ф-1688;Нирка;Nyrka;річка;Хмельницька обл.;;"N 50° 28’ 40""";"E 27° 1’ 30"""
Ф-1692;Жариха;Zharykha;річка;Хмельницька обл.;;"N 50° 31’ 35""";"E 27° 3’ 35"""
Ф-16995;Бредурине;Breduryne;урочище;Хмельницька обл.;р-н Славутський;"N 50° 17’ 37""";"E 26° 46’ 52"""
Ф-1700;Понора;Ponora;річка;Хмельницька обл.;;"N 50° 7’ 2""";"E 26° 49’ 28"""
Ф-1703;Утка;Utka;річка;Хмельницька обл.;;"N 50° 18’ 1""";"E 26° 51’ 2"""
Ф-1707;Теребежі;Terebezhi;озеро;Хмельницька обл.;р-н Славутський;"N 50° 14’ 5""";"E 26° 48’ 58"""
Ф-1711;Гнилий Рів;Hnylyi Riv;річка;Хмельницька обл.;;"N 50° 19’ 50""";"E 26° 32’ 20"""
Ф-1717;Лизнівка;Lyznivka;річка;Хмельницька обл., Житомирська обл.;;"N 50° 19’ 58""";"E 27° 21’ 53"""
Ф-1718;Цвітоха;Tsvitorha;річка;Хмельницька обл.;;"N 50° 15’ 20""";"E 26° 53’ 40"""
Ф-1730;Кам'янка;Kamianka;річка;Хмельницька обл., Житомирська обл.;;"N 50° 10’ 3""";"E 27° 40’ 8"""
Ф-17359;Гретен;Hreten;урочище;Хмельницька обл.;р-н Славутський;"N 50° 16’ 32""";"E 26° 44’ 21"""
Ф-1736;Дружня;Druzhnia;річка;Хмельницька обл.;;"N 50° 9’ 16""";"E 27° 31’ 20"""
Ф-1742;Поганка;Pohanka;річка;Хмельницька обл.;;"N 50° 1’ 18""";"E 27° 21’ 30"""
Ф-1746;Полтва;Poltva;річка;Хмельницька обл.;;"N 49° 59’ 25""";"E 26° 24’ 38"""
Ф-1748;Семенівка;Semenivka;річка;Хмельницька обл.;;"N 49° 58’ 5""";"E 26° 23’ 30"""
Ф-1751;Нірка;Nirka;річка;Хмельницька обл.;;"N 49° 50’ 26""";"E 26° 25’ 50"""
Ф-1758;Фоса;Fosa;річка;Хмельницька обл.;;"N 49° 47’ 35""";"E 26° 55’ 15"""
Ф-1759;Понора;Ponora;річка;Хмельницька обл.;;"N 49° 46’ 50""";"E 27° 3’ 21"""
Ф-1762;Білка;Bilka;річка;Хмельницька обл.;;"N 49° 58’ 38""";"E 27° 13’ 25"""
Ф-1764;Вила;Vyla;річка;Хмельницька обл.;;"N 49° 57’ 38""";"E 27° 2’ 11"""
Ф-1765;Білка;Bilka;річка;Хмельницька обл.;;"N 49° 48’ 10""";"E 27° 33’ 59"""
Ф-1766;Білуга;Biluha;річка;Хмельницька обл.;;"N 49° 50’ 10""";"E 27° 26’ 40"""
Ф-1771;Грабарка;Hrabarka;річка;Хмельницька обл., Тернопільська обл.;;"N 49° 33’ 8""";"E 26° 13’ 5"""
Ф-1780;Грабарка;Hrabarka;річка;Хмельницька обл.;;"N 49° 46’ 20""";"E 27° 36’ 30"""
Ф-1787;Сорока;Soroka;річка;Хмельницька обл.;;"N 49° 12’ 57""";"E 26° 32’ 33"""
Ф-1789;Тростянець;Trostianets;річка;Хмельницька обл.;;"N 49° 9’ 42""";"E 26° 34’ 38"""
Ф-1793;Вовчок;Vovchok;річка;Хмельницька обл.;;"N 49° 16’ 45""";"E 27° 23’ 30"""
Ф-1794;Вовк;Vovk;річка;Хмельницька обл.;;"N 49° 22’ 45""";"E 27° 36’ 2"""
Ф-1796;Кудинка;Kudynka;річка;Хмельницька обл.;;"N 49° 28’ 42""";"E 27° 43’ 1"""
Ф-17996;Глибочок;Hlybochok;урочище;Хмельницька обл.;р-н Полонський;"N 50° 13’ 16""";"E 27° 28’ 46"""
Ф-18015;Вербецька дача;Verbetska dacha;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 23’ 59""";"E 27° 42’ 17"""
Ф-1802;Іква;Ikva;річка;Хмельницька обл.;;"N 49° 31’ 34""";"E 27° 45’ 58"""
Ф-1807;Муха;Mukha;річка;Хмельницька обл.;;"N 49° 5’ 49""";"E 26° 12’ 24"""
Ф-1810;Чорновідка;Chornovidka;річка;Хмельницька обл.;;"N 49° 4’ 50""";"E 26° 35’ 59"""
Ф-18151;Грушевичі;Hrushevychi;урочище;Хмельницька обл.;р-н Полонський;"N 49° 57’ 58""";"E 27° 23’ 57"""
Ф-18238;Варенка;Varenka;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 16’ 0""";"E 27° 42’ 11"""
Ф-18299;Джурелок;Dzhurelok;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 6’ 9""";"E 26° 27’ 52"""
Ф-1837;Яромирка;Yaromyrka;річка;Хмельницька обл.;31.12.1982;"N 48° 56’ 34""";"E 26° 33’ 30"""
Ф-1840;Бужок;Buzhok;річка;Хмельницька обл.;;"N 49° 26’ 10""";"E 27° 25’ 35"""
Ф-1845;Плоска;Ploska;річка;Хмельницька обл.;;"N 49° 25’ 53""";"E 26° 58’ 18"""
Ф-1852;Калюс;Kalius;річка;Хмельницька обл.;;"N 48° 37’ 1""";"E 27° 20’ 35"""
Ф-1854;Данилівка;Danylivka;річка;Хмельницька обл.;;"N 48° 37’ 28""";"E 27° 14’ 27"""
Ф-1855;Жарнівка;Zharnivka;річка;Хмельницька обл.;;"N 48° 36’ 43""";"E 27° 14’ 11"""
Ф-1856;Летавка;Letavka;річка;Хмельницька обл.;;"N 48° 53’ 30""";"E 26° 22’ 55"""
Ф-1857;Рудка;Rudka;річка;Хмельницька обл.;;"N 48° 54’ 54""";"E 26° 22’ 48"""
Ф-1868;Жванчик;Zhvanchyk;річка;Хмельницька обл.;;"N 48° 36’ 32""";"E 27° 6’ 10"""
Ф-1876;Ушка;Ushka;річка;Хмельницька обл.;;"N 48° 54’ 23""";"E 27° 5’ 52"""
Ф-1881;Кармелітанка;Karmelitanka;річка;Хмельницька обл.;;"N 48° 33’ 10""";"E 26° 29’ 15"""
Ф-18863;Велика Кандалиха;Velyka Kandalykha;урочище;Хмельницька обл.;р-н Чемеровецький;"N 48° 59’ 41""";"E 26° 29’ 24"""
Ф-18893;Вишневе;Vyshneve;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 26’ 56""";"E 27° 33’ 34"""
Ф-18904;Войкове;Voikove;урочище;Хмельницька обл.;р-н Теофіпольський;"N 49° 40’ 49""";"E 26° 21’ 2"""
Ф-19144;Верхня Грота;Verkhnia Hrota;печера;Хмельницька обл.;р-н Кам'янець-Подільський;"N 48° 39’ 56""";"E 27° 4’ 41"""
Ф-19262;Гаї;Hai;урочище;Хмельницька обл.;р-н Полонський;"N 50° 4’ 23""";"E 27° 21’ 55"""
Ф-19266;Брожарка;Brozharka;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 51""";"E 27° 18’ 21"""
Ф-19330;Великий Ліс;Velykyi Lis;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 46’ 40""";"E 27° 20’ 24"""
Ф-19620;Ємецький Ліс;Yemetskyi Lis;урочище;Хмельницька обл.;р-н Старосинявський;"N 49° 40’ 6""";"E 27° 27’ 49"""
Ф-19683;Довжок;Dovzhok;урочище;Хмельницька обл.;р-н Новоушицький;"N 48° 49’ 38""";"E 27° 19’ 10"""
Ф-19684;Довжок;Dovzhok;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 27’ 40""";"E 27° 19’ 29"""
Ф-19785;Дідикове;Didykove;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 9’ 37""";"E 26° 14’ 29"""
Ф-19856;Драчьова;Drachova;урочище;Хмельницька обл.;р-н Полонський;"N 50° 1’ 47""";"E 27° 25’ 25"""
Ф-199;Корчик;Korchyk;річка;"Хмельницька обл., Житомирська обл.,
Рівненська обл.";;"N 50° 47’ 52""";"E 27° 12’ 45"""
Ф-20080;Зади;Zady;урочище;Хмельницька обл.;р-н Чемеровецький;"N 49° 2’ 57""";"E 26° 24’ 59"""
Ф-20086;Дідовець;Didovets;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 35’ 22""";"E 27° 16’ 43"""
Ф-20184;Зелений Гай;Zelenyi Hai;урочище;Хмельницька обл.;р-н Красилівський;"N 49° 43’ 19""";"E 26° 49’ 27"""
Ф-20208;Камлай;Kamlai;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 17’ 22""";"E 26° 32’ 34"""
Ф-20251;Жанича;Zhanycha;урочище;Хмельницька обл.;р-н Шепетівський;"N 50° 19’ 0""";"E 27° 20’ 53"""
Ф-20288;Забіляни;Zabiliany;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 13’ 22""";"E 26° 21’ 32"""
Ф-203;Хомора;Khomora;річка;Хмельницька обл., Житомирська обл.;;"N 50° 13’ 32""";"E 27° 39’ 12"""
Ф-20311;Діброва;Dibrova;урочище;Хмельницька обл.;р-н Полонський;"N 49° 55’ 52""";"E 27° 18’ 33"""
Ф-20338;Качанове;Kachanove;урочище;Хмельницька обл.;р-н Городоцький;"N 49° 16’ 8""";"E 26° 22’ 6"""
Ф-21037;Голубєв;Holubiev;урочище;Хмельницька обл.;р-н Летичівський;"N 49° 29’ 24""";"E 27° 45’ 47"""
Ф-21187;Жеребині Лози;Zherebyni Lozy;урочище;Хмельницька обл.;р-н Полонський;"N 50° 0’ 41""";"E 27° 26’ 16"""
Ф-21188;Жеребки;Zherebky;урочище;Хмельницька обл.;р-н Старокостянтинівський;"N 49° 38’ 35""";"E 27° 16’ 10"""
